,team,balbezit,Top10
599,Newcastle United,52,overig
600,Burnley,62,overig
601,Leicester City,38,top10
602,West Ham United,64,top10
603,Huddersfield Town,36,overig
604,Fulham,37,overig
605,Liverpool,63,top10
606,Everton,32,top10
607,Chelsea,68,top10
608,Fulham,34,overig
609,Manchester City,66,top10
610,Brighton & Hove Albion,60,overig
611,Southampton,40,overig
612,Burnley,37,overig
613,Wolverhampton Wanderers,63,top10
614,Crystal Palace,48,overig
615,Huddersfield Town,52,overig
616,Leicester City,58,top10
617,AFC Bournemouth,42,overig
618,Manchester United,51,top10
619,Watford,49,overig
620,West Ham United,49,top10
621,Everton,51,top10
622,Cardiff City,28,overig
623,Chelsea,72,top10
624,Liverpool,48,top10
625,Tottenham Hotspur,52,top10
626,Arsenal,70,top10
627,Newcastle United,30,overig
628,Watford,46,overig
629,Fulham,54,overig
630,Wolverhampton Wanderers,49,top10
631,Manchester United,51,top10
632,Chelsea,68,top10
633,Brighton & Hove Albion,32,overig
634,Tottenham Hotspur,65,top10
635,Crystal Palace,35,overig
636,Manchester City,78,top10
637,Cardiff City,22,overig
638,Southampton,33,overig
639,Liverpool,67,top10
640,AFC Bournemouth,59,overig
641,Burnley,41,overig
642,Huddersfield Town,44,overig
643,Leicester City,56,top10
644,Newcastle United,53,overig
645,Crystal Palace,47,overig
646,Everton,42,top10
647,Arsenal,58,top10
648,Chelsea,54,top10
649,West Ham United,46,top10
650,Leicester City,71,top10
651,Newcastle United,29,overig
652,Tottenham Hotspur,70,top10
653,Huddersfield Town,30,overig
654,Brighton & Hove Albion,50,overig
655,AFC Bournemouth,50,overig
656,Burnley,46,overig
657,Cardiff City,54,overig
658,Fulham,40,overig
659,Everton,60,top10
660,Southampton,30,overig
661,Wolverhampton Wanderers,70,top10
662,Manchester United,42,top10
663,West Ham United,58,top10
664,Crystal Palace,27,overig
665,Manchester City,73,top10
666,Liverpool,61,top10
667,Chelsea,39,top10
668,Watford,34,overig
669,Arsenal,66,top10
670,Brighton & Hove Albion,63,overig
671,Cardiff City,37,overig
672,Manchester City,60,top10
673,Tottenham Hotspur,40,top10
674,AFC Bournemouth,49,overig
675,Fulham,51,overig
676,Huddersfield Town,45,overig
677,Watford,55,overig
678,West Ham United,49,top10
679,Leicester City,51,top10
680,Wolverhampton Wanderers,68,top10
681,Brighton & Hove Albion,32,overig
682,Newcastle United,43,overig
683,Southampton,57,overig
684,Everton,48,top10
685,Manchester United,52,top10
686,Arsenal,72,top10
687,Crystal Palace,28,overig
688,Cardiff City,23,overig
689,Liverpool,77,top10
690,Chelsea,76,top10
691,Burnley,24,overig
692,Watford,62,overig
693,Southampton,38,overig
694,Tottenham Hotspur,78,top10
695,Brighton & Hove Albion,22,overig
696,Wolverhampton Wanderers,29,top10
697,Arsenal,71,top10
698,Manchester United,36,top10
699,Manchester City,64,top10
700,Liverpool,70,top10
701,Huddersfield Town,30,overig
702,Tottenham Hotspur,63,top10
703,West Ham United,37,top10
704,Crystal Palace,36,overig
705,Everton,64,top10
706,Fulham,73,overig
707,Cardiff City,27,overig
708,Southampton,44,overig
709,AFC Bournemouth,56,overig
710,Watford,56,overig
711,Wolverhampton Wanderers,44,top10
712,Brighton & Hove Albion,49,overig
713,Newcastle United,51,overig
714,Leicester City,67,top10
715,Arsenal,33,top10
716,Burnley,30,overig
717,Manchester City,70,top10
718,Manchester United,51,top10
719,Chelsea,49,top10
720,Everton,60,top10
721,Burnley,40,overig
